,Year,FSREX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,17.21,15.83,17.6,1.38,-0.39,0.8,29.0,98.0
1,2013,5.17,26.68,1.55,-21.5,3.62,0.79,25.0,23.0
2,YTD,10.41,6.66,25.93,3.76,-15.52,0.77,33.0,100.0
