,Year,FFFGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,9.5,8.63,6.89,0.87,2.61,2.61,2.61,18.0
1,2008,-39.15,-22.19,-38.11,-16.96,-1.04,-1.04,17.0,64.0
2,2009,32.04,21.77,30.88,10.26,1.15,1.15,17.0,38.0
3,2010,14.72,12.33,14.6,2.39,0.12,0.12,24.0,57.0
4,2011,-5.02,0.59,-4.1,-5.62,-0.92,-0.92,50.0,74.0
5,2012,14.79,12.04,15.31,2.75,-0.52,-0.52,40.0,71.0
6,2013,21.6,14.31,22.0,7.29,-0.4,-0.4,45.0,70.0
7,YTD,6.98,5.81,6.65,1.17,0.33,0.33,53.0,42.0
