,Year,FIVMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,1.46,29.0,29.0
1,2007,9.07,16.65,9.01,-7.58,0.06,1.37,59.0,52.0
2,2008,-46.92,-45.53,-42.41,-1.39,-4.51,1.41,68.0,83.0
3,2009,35.77,41.45,30.33,-5.68,5.44,1.32,46.0,21.0
4,2010,4.88,11.15,7.48,-6.27,-2.6,1.38,43.0,75.0
5,2011,-16.92,-13.71,-12.77,-3.21,-4.15,1.34,83.0,88.0
6,2012,19.54,16.83,16.21,2.71,3.33,1.41,74.0,19.0
7,2013,22.05,15.29,20.81,6.76,1.23,1.36,79.0,45.0
8,YTD,-4.3,-0.27,-2.55,-4.03,-1.75,-1.75,-1.75,75.0
