,Year,SAIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-1.12,-2.02,1.87,0.9,-2.99,0.69,12.0,86.0
1,YTD,4.74,5.87,4.67,-1.13,0.08,0.68,29.0,42.0
