,Year,JGNAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-23.85,-5.54,-13.97,-18.31,-9.89,1.29,23.0,96.0
1,2012,-6.81,15.83,4.34,-22.64,-11.15,1.3,38.0,94.0
2,2013,-15.17,26.68,8.75,-41.84,-23.92,1.29,26.0,96.0
3,YTD,-16.72,6.66,-10.45,-23.38,-6.27,-6.27,-6.27,74.0
