,Year,FCSSX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,15.96,23.62,16.03,-7.66,-0.06,0.6,25.0,55.0
1,2011,-13.89,-5.32,-8.05,-8.57,-5.85,0.6,49.0,94.0
2,2012,-1.79,3.66,-0.79,-5.45,-1.0,0.6,148.0,62.0
3,2013,-10.0,-3.75,-9.08,-6.25,-0.92,0.6,83.0,57.0
4,YTD,-10.48,-15.33,-11.72,4.85,1.24,0.6,23.0,39.0
