,Year,LIJIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.23,0.23,0.23
1,2012,14.16,12.04,14.64,2.11,-0.48,0.2,1.0,65.0
2,2013,16.98,14.31,20.0,2.67,-3.01,0.18,12.0,85.0
3,YTD,7.79,5.81,6.47,1.98,1.32,1.32,1.32,16.0
