,Year,CSAFX_Returns,Morningstar Long-Only Commodity TR,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-11.33,-3.75,-9.08,-7.58,-2.25,1.22,1.22,74.0
1,YTD,-10.34,-15.33,-11.72,4.99,1.37,1.37,1.37,31.0
