,Year,FFHCX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,11.19,4.21,9.43,6.98,1.76,0.75,39.0,14.0
1,2013,6.51,-2.02,5.68,8.54,0.83,0.72,87.0,19.0
2,YTD,2.75,5.87,1.88,-3.11,0.87,0.72,61.0,8.0
