,Year,FPCIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-2.89,5.24,-4.7,-8.13,1.8,1.8,8.0,47.0
1,2009,17.74,5.93,13.97,11.81,3.76,3.76,38.0,24.0
2,2010,8.87,6.54,7.72,2.33,1.16,1.16,48.0,25.0
3,2011,5.99,7.84,5.86,-1.85,0.13,0.03,44.0,57.0
4,2012,7.8,4.21,7.01,3.59,0.8,0.1,113.0,35.0
5,2013,-1.57,-2.02,-1.42,0.45,-0.14,0.08,81.0,47.0
6,YTD,5.56,5.87,5.34,-0.31,0.21,0.08,78.0,49.0
