,Year,TRBUX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.28,-2.02,0.49,2.31,-0.21,0.35,53.0,67.0
1,YTD,0.37,5.87,0.49,-5.5,-0.12,0.35,176.0,59.0
