,Year,OSDYX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.36,28.0,28.0
1,2012,0.96,4.21,1.99,-3.26,-1.03,0.25,60.0,70.0
2,2013,0.4,-2.02,0.49,2.42,-0.1,0.38,61.0,51.0
3,YTD,0.3,5.87,0.49,-5.57,-0.2,0.25,86.0,73.0
