,Year,FBLAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,1.06,13.0,13.0
1,2007,4.15,8.63,5.99,-4.48,-1.84,1.04,78.0,73.0
2,2008,-32.82,-22.19,-28.0,-10.63,-4.82,1.01,51.0,84.0
3,2009,37.58,21.77,24.13,15.8,13.45,0.99,74.0,3.0
4,2010,15.13,12.33,11.83,2.8,3.3,1.02,54.0,6.0
5,2011,3.23,0.59,-0.11,2.64,3.34,1.01,71.0,11.0
6,2012,12.57,12.04,11.72,0.52,0.85,1.01,59.0,38.0
7,2013,13.1,14.31,16.48,-1.2,-3.38,1.11,58.0,84.0
8,YTD,7.81,5.81,6.95,2.0,0.86,0.86,0.86,36.0
