,Year,JEPAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,1.25,34.0,34.0
1,2011,-3.31,2.11,-1.27,-5.42,-2.04,1.25,125.0,72.0
2,2012,18.47,16.0,14.96,2.46,3.51,1.25,57.0,10.0
3,2013,33.14,32.39,31.5,0.75,1.64,1.25,67.0,34.0
4,YTD,15.35,13.98,11.28,1.38,4.07,1.25,69.0,5.0
