,Year,TRRFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,5.57,7.04,3.68,-1.47,1.89,1.89,12.0,5.0
1,2006,11.5,12.95,8.58,-1.45,2.92,2.92,17.0,19.0
2,2007,6.67,8.63,5.22,-1.97,1.45,1.45,22.0,20.0
3,2008,-22.24,-22.19,-22.46,-0.05,0.22,0.22,15.0,42.0
4,2009,24.55,21.77,22.42,2.78,2.13,2.13,37.0,32.0
5,2010,11.51,12.33,10.68,-0.83,0.83,0.83,18.0,31.0
6,2011,1.43,0.59,0.91,0.84,0.53,0.53,18.0,33.0
7,2012,11.35,12.04,9.61,-0.69,1.75,1.75,25.0,23.0
8,2013,9.74,14.31,8.3,-4.56,1.44,1.44,16.0,42.0
9,YTD,5.8,5.81,4.98,-0.0,0.83,0.83,18.0,20.0
