,Year,PENZX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,10.7,12.04,13.03,-1.34,-2.33,0.76,27.0,92.0
1,2013,2.91,14.31,15.3,-11.4,-12.4,0.69,9.0,97.0
2,YTD,6.34,5.81,6.13,0.53,0.21,0.66,29.0,44.0
