,Year,FIGSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,16.44,11.15,14.78,5.29,1.66,0.99,63.0,28.0
1,2011,-9.38,-13.71,-12.3,4.33,2.92,0.98,23.0,28.0
2,2012,19.49,16.83,17.7,2.66,1.8,1.04,27.0,32.0
3,2013,22.14,15.29,18.58,6.85,3.56,1.02,41.0,27.0
4,YTD,-0.49,-0.27,-0.63,-0.22,0.14,0.14,0.14,42.0
