,Year,PMNTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-2.6,-2.55,-2.27,-0.05,-0.34,0.8,32.0,62.0
1,YTD,6.18,8.5,6.44,-2.33,-0.27,0.8,34.0,54.0
