,Year,FSADX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,8.22,-2.02,6.9,10.25,1.33,0.1,27.0,21.0
1,YTD,3.59,5.87,2.83,-2.28,0.76,0.1,46.0,32.0
