,Year,FEDPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,15.95,14.31,15.3,1.64,0.65,0.09,1.0,54.0
1,YTD,6.52,5.81,6.13,0.71,0.39,0.1,88.0,37.0
