,Year,PAGLX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.0,6.0,6.0
1,2009,49.3,41.45,35.27,7.85,14.03,1.1,122.0,12.0
2,2010,14.52,11.15,13.74,3.37,0.78,1.1,121.0,37.0
3,2011,-10.6,-13.71,-7.93,3.11,-2.67,1.1,133.0,70.0
4,2012,21.78,16.83,15.84,4.95,5.94,1.1,112.0,11.0
5,2013,19.96,15.29,25.19,4.67,-5.23,1.1,96.0,76.0
6,YTD,10.29,-0.27,4.54,10.56,5.75,5.75,5.75,8.0
