,Year,COSZX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,33.73,41.45,30.33,-7.72,3.41,1.1,66.0,31.0
1,2010,4.64,11.15,7.48,-6.52,-2.84,1.14,62.0,78.0
2,2011,-10.38,-13.71,-12.77,3.33,2.39,1.15,48.0,19.0
3,2012,17.8,16.83,16.21,0.97,1.59,0.98,96.0,35.0
4,2013,23.22,15.29,20.81,7.94,2.41,1.07,46.0,30.0
5,YTD,-4.03,-0.27,-2.55,-3.76,-1.48,1.21,63.0,72.0
