,Year,PSLDX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-33.13,-22.19,-34.34,-10.94,1.21,0.59,272.0,14.0
1,2009,27.13,21.77,29.37,5.35,-2.24,0.59,464.0,49.0
2,2010,27.6,12.33,13.49,15.27,14.11,0.59,417.0,1.0
3,2011,21.15,0.59,-3.8,20.56,24.95,0.59,339.0,1.0
4,2012,27.22,12.04,13.42,15.18,13.8,0.59,276.0,1.0
5,2013,18.86,14.31,21.31,4.56,-2.45,0.59,52.0,81.0
6,YTD,33.24,5.81,6.72,27.43,26.52,0.59,73.0,1.0
