,Year,VLGIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.09,70.0,70.0
1,2011,28.94,7.84,32.9,21.1,-3.96,0.09,40.0,58.0
2,2012,3.52,4.21,3.87,-0.69,-0.35,0.09,46.0,55.0
3,2013,-12.73,-2.02,-13.34,-10.71,0.61,0.09,54.0,26.0
4,YTD,21.7,5.87,19.07,15.84,2.64,0.09,23.0,31.0
