,Year,CSCEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.34,26.0,26.0
1,2013,41.89,32.39,40.91,9.5,0.98,1.34,97.0,45.0
2,YTD,-1.44,13.98,0.47,-15.42,-1.91,1.34,73.0,73.0
