,Year,FHFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,14.81,12.04,15.52,2.77,-0.7,0.25,18.0,76.0
1,2013,22.02,14.31,23.14,7.71,-1.12,0.25,29.0,76.0
2,YTD,6.54,5.81,6.74,0.73,-0.21,0.25,43.0,56.0
