,Year,PACEX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.25,26.0,26.0
1,2013,-1.92,-2.02,-7.27,0.11,5.35,1.25,70.0,8.0
2,YTD,5.7,5.87,3.43,-0.17,2.27,2.27,2.27,31.0
