,Year,FFKAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,7.68,12.33,8.94,-4.65,-1.25,0.05,32.0,70.0
1,2011,2.12,0.59,1.6,1.53,0.52,0.05,32.0,44.0
2,2012,6.36,12.04,9.01,-5.69,-2.65,0.05,20.0,84.0
3,2013,4.6,14.31,7.36,-9.71,-2.76,0.05,17.0,72.0
4,YTD,4.52,5.81,5.03,-1.29,-0.51,0.05,40.0,67.0
