,Year,BAPJX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.67,99.0,99.0
1,2008,-35.37,-22.19,-38.11,-13.18,2.73,0.61,103.0,13.0
2,2009,27.99,21.77,30.88,6.21,-2.89,0.68,49.0,85.0
3,2010,13.35,12.33,14.6,1.02,-1.25,0.67,123.0,77.0
4,2011,-2.85,0.59,-4.1,-3.44,1.25,0.67,82.0,23.0
5,2012,14.5,12.04,15.31,2.45,-0.81,0.7,103.0,80.0
6,2013,21.98,14.31,22.0,7.68,-0.02,0.5,101.0,67.0
7,YTD,4.81,5.81,6.65,-1.0,-1.84,-1.84,-1.84,90.0
