,Year,FARWX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-29.96,-22.19,-18.06,-7.77,-11.9,0.25,4.0,64.0
1,2009,28.12,21.77,18.36,6.35,9.76,0.25,50.0,24.0
2,2010,13.39,12.33,8.94,1.06,4.45,0.25,129.0,22.0
3,2011,-2.17,0.59,1.6,-2.76,-3.77,0.25,75.0,93.0
4,2012,13.13,12.04,9.01,1.08,4.12,0.25,63.0,5.0
5,2013,18.01,14.31,7.36,3.71,10.65,0.24,30.0,3.0
6,YTD,6.38,5.81,5.03,0.57,1.35,0.25,34.0,14.0
