,Year,VCVSX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.36,13.49,29.21,16.87,1.15,0.55,162.0,45.0
1,2000,4.21,1.68,2.52,2.53,1.69,0.56,182.0,41.0
2,2001,-3.09,-2.46,-6.57,-0.63,3.48,0.71,156.0,25.0
3,2002,-9.35,-6.69,-7.77,-2.66,-1.58,0.95,118.0,77.0
4,2003,31.58,22.48,26.24,9.1,5.34,0.84,0.84,18.0
5,2004,7.2,11.48,9.03,-4.28,-1.83,0.68,0.68,73.0
6,2005,6.6,7.04,3.59,-0.45,3.01,0.86,86.0,17.0
7,2006,12.94,12.95,10.72,-0.01,2.22,0.87,138.0,21.0
8,2007,10.61,8.63,7.51,1.98,3.1,0.77,116.0,20.0
9,2008,-29.79,-22.19,-33.38,-7.6,3.59,0.71,77.0,25.0
10,2009,40.81,21.77,40.58,19.04,0.23,0.72,103.0,56.0
11,2010,19.24,12.33,16.77,6.91,2.48,0.68,103.0,22.0
12,2011,-6.75,0.59,-5.62,-7.34,-1.13,0.59,90.0,71.0
13,2012,14.47,12.04,10.92,2.42,3.54,0.52,82.0,14.0
14,2013,19.17,14.31,21.66,4.87,-2.49,0.63,101.0,81.0
15,YTD,2.83,5.81,7.39,-2.98,-4.56,-4.56,-4.56,95.0
