,Year,MLPDX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,1.35,15.0,15.0
1,2011,0.88,-5.54,6.64,6.42,-5.77,1.35,24.0,100.0
2,2012,0.89,15.83,4.09,-14.93,-3.2,1.35,29.0,70.0
3,2013,23.47,26.68,23.24,-3.21,0.23,1.35,4.0,35.0
4,YTD,6.59,6.66,11.07,-0.06,-4.47,-4.47,-4.47,96.0
