,Year,FFFHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,9.77,8.63,5.91,1.14,3.86,3.86,3.86,4.0
1,2008,-40.61,-22.19,-38.67,-18.42,-1.94,-1.94,16.0,76.0
2,2009,32.47,21.77,32.02,10.7,0.45,0.45,20.0,42.0
3,2010,14.9,12.33,14.53,2.56,0.36,0.36,23.0,48.0
4,2011,-5.57,0.59,-3.82,-6.17,-1.76,-1.76,51.0,79.0
5,2012,15.06,12.04,15.07,3.02,-0.01,-0.01,41.0,61.0
6,2013,21.87,14.31,21.02,7.56,0.85,0.85,44.0,63.0
7,YTD,6.99,5.81,6.68,1.18,0.31,0.31,57.0,43.0
