,Year,FRAMX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-23.21,-22.19,-18.06,-1.02,-5.15,0.25,32.0,71.0
1,2009,22.8,21.77,18.36,1.03,4.44,0.26,22.0,32.0
2,2010,10.98,12.33,8.94,-1.35,2.05,0.25,24.0,35.0
3,2011,0.11,0.59,1.6,-0.48,-1.49,0.25,29.0,65.0
4,2012,9.6,12.04,9.01,-2.45,0.59,0.25,43.0,39.0
5,2013,10.9,14.31,7.36,-3.41,3.54,0.25,38.0,25.0
6,YTD,5.29,5.81,5.03,-0.51,0.26,0.25,26.0,43.0
