,Year,PTSIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,24.01,16.83,18.29,7.18,5.72,0.84,347.0,5.0
1,2013,25.43,15.29,19.44,10.14,5.99,0.84,452.0,10.0
2,YTD,-1.61,-0.27,-1.63,-1.34,0.02,0.83,414.0,46.0
