,Year,FUSIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-45.29,-45.53,-43.99,0.24,-1.3,-1.3,-1.3,65.0
1,2009,30.98,41.45,31.24,-10.47,-0.26,-0.26,20.0,47.0
2,2010,10.62,11.15,10.24,-0.53,0.39,0.39,13.0,45.0
3,2011,-15.28,-13.71,-13.97,-1.57,-1.31,0.08,48.0,70.0
4,2012,20.95,16.83,18.29,4.12,2.66,0.25,38.0,16.0
5,2013,24.12,15.29,19.44,8.84,4.69,0.27,29.0,14.0
6,YTD,-1.7,-0.27,-1.63,-1.42,-0.06,0.26,27.0,48.0
