,Year,FCGSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.76,1.0,1.0
1,YTD,14.08,13.98,10.79,0.11,3.29,3.29,3.29,15.0
