,Year,FENPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,19.91,14.31,20.0,5.6,-0.08,0.1,1.0,66.0
1,YTD,6.83,5.81,6.47,1.02,0.36,0.1,32.0,42.0
