,Year,TGTRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,23.9,5.93,13.12,17.97,10.77,1.04,22.0,6.0
1,2010,14.94,6.54,6.35,8.4,8.59,1.09,7.0,1.0
2,2011,-1.08,7.84,3.39,-8.92,-4.47,1.04,16.0,92.0
3,2012,19.03,4.21,8.09,14.81,10.94,1.04,24.0,1.0
4,2013,3.55,-2.02,-2.62,5.58,6.17,1.0,25.0,2.0
5,YTD,2.66,5.87,2.75,-3.21,-0.09,1.01,29.0,45.0
