,Year,TRCEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.75,3.0,3.0
1,2011,-10.51,-13.71,-13.97,3.19,3.45,0.75,15.0,13.0
2,2012,19.25,16.83,18.29,2.42,0.96,0.75,18.0,30.0
3,2013,22.25,15.29,19.44,6.96,2.82,0.75,16.0,21.0
4,YTD,-1.35,-0.27,-1.63,-1.08,0.28,0.28,0.28,41.0
