,Year,JEITX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.33,25.0,25.0
1,YTD,7.35,-0.27,4.54,7.62,2.81,2.81,2.81,21.0
