,Year,JPFAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,18.08,16.0,15.34,2.07,2.74,2.74,2.74,12.0
1,2013,39.41,32.39,33.92,7.02,5.49,1.25,61.0,5.0
2,YTD,8.17,13.98,10.79,-5.81,-2.62,1.24,76.0,81.0
