,Year,BALPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-31.2,-37.0,-37.79,5.8,6.59,4.14,109.0,3.0
1,2009,13.85,26.46,28.17,-12.62,-14.32,0.76,193.0,99.0
2,2010,13.32,15.06,14.01,-1.75,-0.69,1.25,192.0,59.0
3,2011,3.73,2.11,-1.27,1.62,5.0,2.0,126.0,11.0
4,2012,14.27,16.0,14.96,-1.73,-0.69,1.8,172.0,65.0
5,2013,31.94,32.39,31.5,-0.45,0.43,1.71,65.0,48.0
6,YTD,8.96,13.98,11.28,-5.02,-2.32,1.65,44.0,78.0
