,Year,CAGAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.85,9.0,9.0
1,2012,30.86,16.83,18.15,14.03,12.72,1.77,30.0,3.0
2,2013,11.73,15.29,-0.14,-3.56,11.87,1.76,36.0,7.0
3,YTD,-1.21,-0.27,1.96,-0.94,-3.17,-3.17,-3.17,84.0
