,Year,FLAUX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,15.43,16.0,14.96,-0.57,0.47,0.97,77.0,47.0
1,2013,31.47,32.39,31.5,-0.92,-0.04,0.96,95.0,56.0
2,YTD,11.99,13.98,11.28,-1.99,0.71,0.97,87.0,48.0
