,Year,BAPLX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.49,45.0,45.0
1,YTD,5.08,5.81,6.74,-0.73,-1.66,-1.66,-1.66,83.0
