,Year,ODAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,0.99,5.0,5.0
1,YTD,4.65,5.81,2.17,-1.16,2.48,0.63,107.0,23.0
