,Year,BASIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.4,115.0,115.0
1,2009,24.76,5.93,19.0,18.83,5.76,0.4,128.0,29.0
2,2010,13.1,6.54,5.44,6.55,7.65,0.6,881.0,2.0
3,2011,-0.98,7.84,-1.29,-8.82,0.32,0.77,639.0,53.0
4,2012,9.64,4.21,7.5,5.43,2.14,0.9,807.0,28.0
5,2013,3.02,-2.02,0.29,5.04,2.73,0.9,1413.0,23.0
6,YTD,3.56,5.87,1.86,-2.31,1.69,1.69,1.69,17.0
