,Year,FQIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,13.38,12.33,13.29,1.05,0.09,0.03,33.0,51.0
1,2011,-0.74,0.59,-2.06,-1.34,1.31,0.05,18.0,20.0
2,2012,11.53,12.04,13.03,-0.52,-1.5,0.09,18.0,80.0
3,2013,14.17,14.31,15.3,-0.14,-1.13,0.1,10.0,69.0
4,YTD,7.32,5.81,6.13,1.51,1.19,0.09,21.0,16.0
