,Year,TAEMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,17.35,16.83,18.15,0.52,-0.79,1.4,1.4,62.0
1,2013,-9.14,15.29,-0.14,-24.42,-9.0,1.44,5.0,97.0
2,YTD,-1.11,-0.27,1.96,-0.84,-3.07,1.54,69.0,83.0
