,Year,FSAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-30.15,-22.19,-28.0,-7.96,-2.14,1.16,4.0,66.0
1,2009,32.37,21.77,24.13,10.59,8.23,1.09,29.0,8.0
2,2010,14.03,12.33,11.83,1.69,2.19,1.08,20.0,14.0
3,2011,-2.51,0.59,-0.11,-3.1,-2.4,1.09,14.0,80.0
4,2012,12.39,12.04,11.72,0.35,0.68,1.08,25.0,42.0
5,2013,16.57,14.31,16.48,2.26,0.09,1.05,22.0,56.0
6,YTD,6.2,5.81,6.95,0.39,-0.75,1.03,11.0,62.0
