,Year,ORAZX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,-3.23,3.36,1.65,-6.59,-4.88,0.52,0.52,95.0
1,2008,-35.71,-2.47,-10.07,-33.23,-25.64,0.74,53.0,95.0
2,2009,42.79,12.91,19.1,29.87,23.69,0.1,44.0,4.0
3,2010,4.65,2.38,1.18,2.27,3.47,0.71,9.0,1.0
4,2011,15.27,10.7,10.2,4.57,5.07,0.8,22.0,1.0
5,2012,12.23,6.78,7.57,5.45,4.66,0.8,11.0,3.0
6,2013,-11.26,-2.55,-5.66,-8.71,-5.6,0.8,3.0,93.0
7,YTD,13.82,8.5,9.57,5.31,4.25,0.8,9.0,5.0
