,Year,MMCVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,14.3,15.79,15.87,-1.49,-1.57,-1.57,84.0,69.0
1,2007,4.69,5.49,0.83,-0.8,3.86,3.86,3.86,25.0
2,2008,-35.28,-37.0,-36.77,1.72,1.49,1.49,148.0,35.0
3,2009,37.85,26.46,35.41,11.39,2.44,2.44,179.0,35.0
4,2010,27.5,15.06,21.92,12.43,5.57,5.57,81.0,5.0
5,2011,0.79,2.11,-3.96,-1.32,4.74,4.74,64.0,16.0
6,2012,14.49,16.0,16.6,-1.51,-2.11,-2.11,64.0,72.0
7,2013,34.99,32.39,35.14,2.6,-0.15,-0.15,57.0,50.0
8,YTD,7.24,13.98,8.68,-6.74,-1.44,-1.44,61.0,68.0
