,Year,PAFGX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,1.08,22.0,22.0
1,YTD,5.38,5.81,3.26,-0.42,2.12,2.12,2.12,20.0
