,Year,FOMAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.63,5.0,5.0
1,2012,5.59,6.78,8.87,-1.19,-3.28,0.65,14.0,92.0
2,2013,-2.95,-2.55,-4.59,-0.4,1.64,0.65,12.0,8.0
3,YTD,7.0,8.5,9.8,-1.5,-2.79,0.65,6.0,96.0
