,Year,FKVFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,11.93,12.33,11.5,-0.4,0.43,0.05,23.0,41.0
1,2011,-0.34,0.59,-0.27,-0.93,-0.06,0.05,35.0,51.0
2,2012,10.81,12.04,10.65,-1.24,0.16,0.05,23.0,49.0
3,2013,11.96,14.31,9.65,-2.35,2.31,0.05,21.0,33.0
4,YTD,6.03,5.81,5.38,0.22,0.65,0.05,43.0,30.0
