,Year,PAELX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.2,50.0,50.0
1,2012,17.71,4.21,17.95,13.5,-0.24,1.2,82.0,55.0
2,2013,-10.38,-2.02,-7.27,-8.35,-3.11,1.2,82.0,79.0
3,YTD,-0.02,5.87,3.43,-5.89,-3.45,-3.45,-3.45,79.0
