,Year,PIXAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,16.7,15.79,14.17,0.91,2.53,2.53,2.53,12.0
1,2007,7.37,5.49,6.16,1.88,1.21,1.14,464.0,33.0
2,2008,-43.92,-37.0,-37.79,-6.92,-6.13,1.19,279.0,91.0
3,2009,56.5,26.46,28.17,30.04,28.33,1.19,564.0,1.0
4,2010,30.03,15.06,14.01,14.96,16.02,1.19,786.0,1.0
5,2011,4.68,2.11,-1.27,2.56,5.95,1.19,453.0,7.0
6,2012,26.54,16.0,14.96,10.54,11.58,1.19,1047.0,1.0
7,2013,34.34,32.39,31.5,1.95,2.84,1.19,506.0,25.0
8,YTD,12.24,13.98,11.28,-1.74,0.96,1.19,424.0,46.0
