,Year,LIBIX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.21,0.21,0.21
1,2012,12.33,12.04,13.03,0.29,-0.69,0.18,0.18,64.0
2,2013,13.46,14.31,15.3,-0.85,-1.84,0.17,13.0,76.0
3,YTD,7.17,5.81,6.13,1.37,1.05,1.05,1.05,19.0
