,Year,TREBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.7,145.0,145.0
1,2007,5.15,6.97,5.36,-1.81,-0.2,0.7,84.0,43.0
2,2008,-17.48,5.24,-17.64,-22.72,0.16,0.7,116.0,51.0
3,2009,35.63,5.93,32.43,29.7,3.2,0.7,31.0,34.0
4,2010,14.22,6.54,12.34,7.68,1.88,0.7,58.0,21.0
5,2011,2.84,7.84,1.98,-5.0,0.86,0.7,50.0,55.0
6,2012,18.58,4.21,17.95,14.37,0.64,0.7,44.0,44.0
7,2013,-5.33,-2.02,-7.27,-3.31,1.94,0.7,52.0,20.0
8,YTD,7.44,5.87,3.43,1.58,4.01,4.01,4.01,14.0
