,Year,RPIFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.55,70.0,70.0
1,2009,35.51,5.93,41.81,29.58,-6.3,0.55,75.0,69.0
2,2010,9.67,6.54,9.44,3.13,0.23,0.55,96.0,45.0
3,2011,1.68,7.84,1.63,-6.16,0.04,0.55,68.0,43.0
4,2012,8.28,4.21,9.43,4.06,-1.16,0.55,92.0,70.0
5,2013,5.13,-2.02,5.68,7.15,-0.55,0.56,83.0,54.0
6,YTD,2.55,5.87,1.88,-3.32,0.67,0.56,59.0,11.0
