,Year,TINCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,21.3,12.95,16.61,8.35,4.69,1.2,6.0,19.0
1,2007,10.42,8.63,11.39,1.79,-0.97,1.2,21.0,34.0
2,2008,-24.71,-22.19,-28.98,-2.52,4.27,1.2,23.0,31.0
3,2009,28.18,21.77,24.37,6.41,3.81,1.2,38.0,25.0
4,2010,12.15,12.33,10.58,-0.18,1.58,1.2,30.0,38.0
5,2011,-5.59,0.59,-3.99,-6.19,-1.6,1.2,30.0,59.0
6,2012,17.98,12.04,10.74,5.94,7.24,1.2,19.0,5.0
7,2013,17.29,14.31,10.07,2.98,7.22,1.2,30.0,15.0
8,YTD,2.05,5.81,3.26,-3.76,-1.21,1.12,13.0,73.0
