,Year,FFFEX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.5,13.49,18.32,15.0,10.18,10.18,10.18,25.0
1,2000,-5.07,1.68,-5.92,-6.75,0.85,0.07,26.0,1.0
2,2001,-11.69,-2.46,-10.47,-9.23,-1.22,0.08,37.0,100.0
3,2002,-17.31,-6.69,-14.2,-10.61,-3.11,0.07,5.0,84.0
4,2003,28.42,22.48,23.89,5.94,4.53,0.08,4.0,7.0
5,2004,10.45,11.48,10.95,-1.03,-0.49,0.08,0.08,59.0
6,2005,8.86,7.04,6.81,1.82,2.06,0.08,0.08,1.0
7,2006,12.9,12.95,13.6,-0.06,-0.7,0.01,5.0,66.0
8,2007,9.27,8.63,6.5,0.64,2.77,2.77,6.0,14.0
9,2008,-36.93,-22.19,-36.04,-14.74,-0.9,-0.9,36.0,60.0
10,2009,30.57,21.77,28.87,8.8,1.7,1.7,23.0,31.0
11,2010,14.04,12.33,13.47,1.71,0.57,0.57,29.0,40.0
12,2011,-3.15,0.59,-2.26,-3.74,-0.89,-0.89,44.0,64.0
13,2012,13.47,12.04,13.59,1.43,-0.12,-0.12,26.0,55.0
14,2013,18.13,14.31,16.65,3.82,1.48,1.48,29.0,48.0
15,YTD,6.81,5.81,6.17,1.0,0.64,0.64,54.0,30.0
