,Year,OIDAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,25.82,26.65,23.95,-0.83,1.87,0.46,0.46,56.0
1,2007,12.38,16.65,16.26,-4.27,-3.88,0.35,1.0,20.0
2,2008,-43.9,-45.53,-46.56,1.62,2.66,0.39,6.0,49.0
3,2009,49.45,41.45,38.02,8.0,11.42,0.57,34.0,2.0
4,2010,17.78,11.15,14.78,6.62,2.99,0.68,9.0,4.0
5,2011,-15.11,-13.71,-12.3,-1.4,-2.8,0.67,5.0,68.0
6,2012,20.79,16.83,17.7,3.96,3.09,0.68,13.0,18.0
7,2013,24.42,15.29,18.58,9.14,5.84,0.67,9.0,10.0
8,YTD,-2.89,-0.27,-0.63,-2.62,-2.26,0.68,18.0,73.0
